name,county,role,role_note,lat,lon,pitch_bearing,bearing_source,match_dist_m,n_candidates,capacity,lore,lore_url
Pairc Ui Rinn,Cork,county_second,,51.891502,-8.437229,89.3,matched_inside_boundary,138.5,1,16440,"Named after Christy Ring, widely regarded as one of hurling's greatest players.",https://en.wikipedia.org/wiki/P%C3%A1irc_U%C3%AD_Rinn
Fraher Field,Waterford,county_second,,52.096906,-7.624736,87.6,matched_inside_boundary,135.8,1,15000,"Named after Pat Fraher, a Waterford GAA administrator; in Dungarvan.",https://en.wikipedia.org/wiki/Fraher_Field
St Conleth's Park,Kildare,county_main,,53.179615,-6.794883,138.6,matched_inside_boundary,139.3,1,15000,"Named after Saint Conleth, patron saint of Kildare; in Newbridge.",https://en.wikipedia.org/wiki/St_Conleth%27s_Park
St Mary's Park,Monaghan,county_second,,54.1129,-6.731229,157.3,verified_satellite,44.1,1,14000,Home ground of Castleblayney Faughs GFC.,https://en.wikipedia.org/wiki/Castleblayney_Faughs_GFC
Austin Stack Park,Kerry,county_second,,52.270097,-9.693667,101.7,matched_inside_boundary,139.8,1,14000,"Named after Austin Stack, a 1916 Rising participant and Kerry footballer; in Tralee.",https://en.wikipedia.org/wiki/Austin_Stack_Park
Cusack Park,Westmeath,county_main,,53.528166,-7.338227,71.0,matched_inside_boundary,130.1,1,11500,"Named after Michael Cusack, a founder of the GAA; in Mullingar.",https://en.wikipedia.org/wiki/TEG_Cusack_Park
Dr Cullen Park,Carlow,county_main,,52.846879,-6.917007,102.6,matched_150m_radius,0.0,1,11000,"Named after Cardinal Paul Cullen, 19th-century Archbishop of Dublin.",https://en.wikipedia.org/wiki/Dr_Cullen_Park
Walsh Park,Waterford,county_main,,52.254806,-7.128902,78.8,matched_inside_boundary,130.7,1,11046,Named after Bishop Daniel Cohalan's contemporary; in Waterford city.,https://en.wikipedia.org/wiki/Walsh_Park
Pairc Tailteann,Meath,county_main,,53.649811,-6.694318,69.3,matched_inside_boundary,131.6,1,11000,"Named after the ancient Tailteann Games, said to be held nearby; in Navan.",https://en.wikipedia.org/wiki/P%C3%A1irc_Tailteann
Pairc Sean Mac Diarmada,Leitrim,county_main,,53.94818,-8.07608,36.5,matched_inside_boundary,145.1,1,9331,"Named after Seán Mac Diarmada, a 1916 Rising signatory born in Leitrim.",https://en.wikipedia.org/wiki/P%C3%A1irc_Se%C3%A1n_Mac_Diarmada
Fr Tierney Park,Donegal,county_second,,54.498037,-8.191038,88.4,verified_satellite,26.9,1,9000,Home of Aodh Ruadh CLG in Ballyshannon.,https://en.wikipedia.org/wiki/Aodh_Ruadh_CLG
St Brendan's Park,Offaly,county_second,,53.091684,-7.909012,4.4,matched_inside_boundary,150.3,1,8800,Named after Saint Brendan the Navigator; in Birr.,https://en.wikipedia.org/wiki/St_Brendan%27s_Park
Parnell Park,Dublin,county_main,,53.372877,-6.216569,112.5,matched_inside_boundary,148.9,1,8500,"Named after Charles Stewart Parnell, 19th-century Irish nationalist leader; in Donnycarney.",https://en.wikipedia.org/wiki/Parnell_Park
Aughrim County Ground,Wicklow,county_main,,52.85264,-6.335284,58.4,verified_satellite,5.4,1,7000,"Wicklow GAA's home ground on Rednagh Road, Aughrim.",https://en.wikipedia.org/wiki/Aughrim_County_Ground
O'Garney Park,Clare,county_second,,52.744834,-8.777737,16.5,matched_150m_radius,13.1,1,7000,Named after the River O'Garney; home of Sixmilebridge GAA club.,https://en.wikipedia.org/wiki/O%27Garney_Park
St Jarlath's Park,Galway,county_second,,53.509443,-8.853857,0.4,matched_inside_boundary,135.4,1,6700,"Named after Saint Jarlath, patron saint of Tuam.",https://en.wikipedia.org/wiki/St_Jarlath%27s_Park
Pearse Park,Longford,county_main,,53.739326,-7.804909,0.3,matched_150m_radius,0.0,1,6000,"Named after Pádraig Pearse, executed leader of the 1916 Easter Rising.",https://en.wikipedia.org/wiki/Pearse_Park_(Longford)
McKenna Park,Down,county_second,,54.478055,-5.507858,153.2,matched_150m_radius,146.7,1,5000,Home ground of St Joseph's Ballycran GAA club.,https://en.wikipedia.org/wiki/McKenna_Park
Pearse Park,Wicklow,county_second,,52.801251,-6.169363,111.7,verified_satellite,13.2,1,5000,"Named after Pádraig Pearse; home of Arklow Geraldines Ballymoney GAA, in Arklow.",https://en.wikipedia.org/wiki/Pearse_Park_(Arklow)
Corrigan Park,Antrim,county_second,,54.592234,-5.977465,0.1,matched_150m_radius,16.6,1,3700,"Named after John Corrigan (1881-1916), Antrim County Board secretary; in Belfast.",https://en.wikipedia.org/wiki/Corrigan_Park
Casement Park,Antrim,county_main,closed since 2013,54.573237,-5.983924,155.4,matched_inside_boundary,46.0,1,34578,"Named after Roger Casement, executed 1916 figure; traditional Antrim GAA headquarters, closed for redevelopment since 2013 (capacity is the planned post-redevelopment figure, not a current one).",https://en.wikipedia.org/wiki/Casement_Park
Gaelic Grounds,Louth,county_main,Louth's home until 2020; new Dundalk stadium not yet open,53.723656,-6.359451,97.3,verified_satellite,5.1,1,3500,"Louth GAA's home ground 1926-2020, in Drogheda; currently under redevelopment. A new stadium (""Staid Lu"", 14,000 capacity) is under construction in Dundalk -- a different site -- and not yet open, so this row's bearing describes a ground the county is in the process of leaving.",https://en.wikipedia.org/wiki/Gaelic_Grounds_(Drogheda)
O'Donnell Park,Donegal,county_second,,54.945436,-7.752672,144.1,matched_150m_radius,17.3,1,8200,"Named for Cardinal Patrick O'Donnell (1856-1927); home of St Eunan's GAA club, in Letterkenny.",https://en.wikipedia.org/wiki/O%27Donnell_Park
